Supplier_ID,Country,Sector,Renewable_Energy_%,Emissions_Scope1_tCO2e,Emissions_Scope2_tCO2e,Emissions_Scope3_tCO2e,Data_Confidence,Last_Audit_Year,High_Risk_Operations,Recycled_Materials_%,Emissions_Trend,Traceability_Score,Risk_Category
SUP03115,Germany,Textiles,59,864,890,9920,0.7,2021,Yes,42,Stable,0.65,Medium
SUP03116,Vietnam,Semiconductors,76,249,951,15000,0.73,2021,No,62,Stable,0.63,Medium
SUP03117,Germany,Displays,49,456,575,15135,0.92,2020,No,50,Increasing,1.0,Medium
SUP03118,Thailand,Textiles,73,360,1141,4697,0.79,2023,No,42,Stable,0.68,Medium
SUP03119,China,Displays,15,185,566,9154,0.92,2020,No,19,Stable,0.7,Low
SUP03120,USA,Semiconductors,13,234,1715,10027,1.0,2023,Yes,70,Stable,0.88,Medium
SUP03121,China,Assembly,54,74,434,12167,0.97,2024,No,57,Decreasing,0.98,Medium
SUP03122,India,Assembly,47,141,712,14958,0.66,2022,No,93,Stable,0.61,Medium
SUP03123,Mexico,Packaging,22,85,216,5230,0.6,2023,No,5,Decreasing,0.66,Medium
SUP03124,Thailand,Packaging,24,85,114,5492,0.92,2021,No,15,Increasing,0.9,Low
SUP03125,USA,Assembly,63,147,558,6184,0.9,2023,No,65,Decreasing,0.67,Medium
SUP03126,Brazil,Displays,15,416,843,12849,0.83,2020,No,52,Stable,0.97,Medium
SUP03127,Mexico,Textiles,7,626,1135,6065,0.76,2020,No,87,Increasing,0.64,Medium
SUP03128,Brazil,Packaging,57,60,207,2378,0.62,2020,No,18,Increasing,0.63,Medium
SUP03129,China,Semiconductors,80,510,1380,13619,0.77,2024,No,59,Stable,0.64,Medium
SUP03130,Germany,Batteries,57,932,1466,14398,0.6,2020,Yes,84,Decreasing,0.57,Medium
SUP03131,Mexico,Assembly,34,149,581,11209,0.81,2022,No,45,Stable,0.81,Medium
SUP03132,Brazil,Semiconductors,80,298,1747,14820,0.8,2024,Yes,0,Stable,1.0,Medium
SUP03133,China,Batteries,98,796,1110,14931,0.69,2022,Yes,97,Increasing,0.51,Medium
SUP03134,Brazil,Semiconductors,3,401,1344,18752,0.8,2023,No,54,Increasing,0.75,High
SUP03135,Mexico,Semiconductors,27,325,1231,12476,0.82,2024,No,95,Stable,0.8,Medium
SUP03136,USA,Semiconductors,33,252,1240,16369,0.7,2024,No,24,Stable,0.55,Medium
SUP03137,Germany,Packaging,36,38,122,3861,0.86,2023,No,7,Stable,0.87,Low
SUP03138,Brazil,Displays,43,196,804,12893,0.94,2023,No,37,Decreasing,0.95,Medium
SUP03139,Germany,Displays,37,205,749,10245,0.88,2023,No,92,Increasing,0.87,Medium
SUP03140,Germany,Packaging,46,99,220,4965,0.68,2024,No,4,Increasing,0.69,Medium
SUP03141,USA,Packaging,44,59,217,2972,0.69,2022,No,72,Stable,0.86,Low
SUP03142,India,Displays,90,468,899,15723,0.77,2024,No,69,Increasing,0.75,Medium
SUP03143,India,Packaging,50,60,182,2927,0.63,2024,No,75,Decreasing,0.46,High
SUP03144,Germany,Assembly,22,53,795,13362,0.84,2020,No,92,Stable,0.95,Medium
SUP03145,Germany,Textiles,82,792,965,4725,0.93,2021,Yes,62,Stable,0.87,Low
SUP03146,Mexico,Assembly,84,73,342,6467,1.0,2023,No,73,Increasing,0.9,Low
SUP03147,India,Displays,63,247,735,12505,0.73,2023,No,5,Decreasing,0.76,Medium
SUP03148,China,Assembly,18,122,651,12771,0.78,2020,No,76,Stable,0.74,Medium
SUP03149,China,Semiconductors,7,341,881,14088,0.83,2021,No,13,Stable,0.84,Medium
SUP03150,Thailand,Assembly,17,91,414,12420,0.89,2021,No,81,Stable,0.73,Medium
SUP03151,Germany,Displays,59,348,819,11859,0.88,2021,No,70,Stable,0.77,Medium
SUP03152,Vietnam,Assembly,43,70,471,8632,0.6,2022,No,43,Stable,0.5,Medium
SUP03153,Germany,Assembly,72,64,476,7025,0.74,2024,No,51,Increasing,0.54,Medium
SUP03154,Germany,Packaging,70,73,340,3669,0.71,2023,No,7,Increasing,0.62,Medium
SUP03155,India,Batteries,50,680,1615,17229,0.89,2024,Yes,5,Stable,0.86,High
SUP03156,Germany,Packaging,60,44,210,3761,0.74,2020,No,66,Decreasing,0.72,Low
SUP03157,Thailand,Batteries,48,769,1532,10449,0.9,2020,Yes,77,Stable,0.9,Medium
SUP03158,Brazil,Packaging,17,35,262,3250,0.78,2023,No,67,Stable,0.69,Medium
SUP03159,India,Assembly,31,90,776,10407,0.78,2024,No,47,Decreasing,0.82,Medium
SUP03160,China,Packaging,69,49,131,5270,0.63,2020,No,82,Increasing,0.54,Medium
SUP03161,Thailand,Batteries,33,646,1520,13617,0.7,2024,Yes,67,Stable,0.64,Medium
SUP03162,USA,Displays,7,236,828,8493,0.93,2021,No,92,Stable,1.0,Low
SUP03163,Mexico,Displays,86,315,825,8253,0.61,2020,No,14,Stable,0.53,Medium
SUP03164,Brazil,Packaging,46,46,126,5438,0.99,2024,No,12,Decreasing,0.9,Low
SUP03165,China,Semiconductors,13,426,1018,13517,0.95,2022,No,12,Decreasing,1.0,Medium
SUP03166,Thailand,Batteries,26,835,1756,17567,0.77,2022,Yes,9,Increasing,0.89,High
SUP03167,Brazil,Displays,50,301,879,12790,0.71,2022,No,99,Decreasing,0.73,Medium
SUP03168,Thailand,Semiconductors,92,409,1136,12841,0.97,2023,No,43,Increasing,1.0,Medium
SUP03169,Vietnam,Displays,68,168,534,10456,0.76,2023,No,84,Stable,0.64,Medium
SUP03170,Mexico,Assembly,21,140,364,8703,0.88,2022,No,27,Stable,0.76,Low
SUP03171,Vietnam,Packaging,26,61,284,5979,0.85,2023,No,3,Stable,0.75,Low
SUP03172,Vietnam,Batteries,67,517,1281,14706,0.79,2020,No,42,Stable,0.72,Medium
SUP03173,Thailand,Assembly,17,53,756,14693,0.9,2021,No,94,Decreasing,0.75,Medium
SUP03174,Vietnam,Displays,50,216,674,9938,0.84,2020,No,16,Stable,0.81,Medium
SUP03175,Mexico,Displays,47,410,652,14094,0.89,2020,No,49,Stable,0.87,Medium
SUP03176,China,Batteries,58,851,1250,17068,0.67,2024,Yes,60,Stable,0.67,High
SUP03177,China,Textiles,4,416,1134,7481,0.97,2021,No,44,Decreasing,0.95,Low
SUP03178,Thailand,Packaging,82,30,146,4529,0.69,2021,No,65,Stable,0.68,Medium
SUP03179,Thailand,Batteries,54,948,1320,17814,0.95,2023,Yes,61,Stable,1.0,High
SUP03180,Brazil,Batteries,28,946,1720,18520,0.63,2022,Yes,73,Increasing,0.57,High
SUP03181,Brazil,Packaging,4,67,144,3134,0.61,2020,No,21,Decreasing,0.66,Medium
SUP03182,Mexico,Textiles,82,375,545,6923,0.92,2024,No,60,Stable,0.98,Low
SUP03183,China,Assembly,25,93,362,9331,0.81,2021,No,44,Increasing,0.93,Low
SUP03184,Mexico,Displays,15,364,990,13639,0.65,2020,No,14,Decreasing,0.61,Medium
SUP03185,Mexico,Displays,86,471,689,15676,0.96,2021,No,48,Stable,1.0,Medium
SUP03186,Thailand,Semiconductors,73,269,1445,16067,0.73,2024,No,9,Stable,0.9,Medium
SUP03187,India,Batteries,22,531,1024,19969,0.64,2021,No,8,Increasing,0.49,High
SUP03188,China,Batteries,16,980,1220,14714,0.86,2024,Yes,3,Increasing,0.81,Medium
SUP03189,Mexico,Displays,41,188,611,12453,0.78,2022,No,31,Stable,0.77,Medium
SUP03190,China,Displays,43,408,945,13641,0.64,2022,No,14,Stable,0.61,Medium
SUP03191,Thailand,Textiles,32,424,664,8424,0.7,2020,No,81,Stable,0.62,Medium
SUP03192,India,Semiconductors,58,262,1764,13228,0.79,2021,Yes,64,Increasing,0.68,Medium
SUP03193,Vietnam,Batteries,75,699,1316,12611,0.71,2023,No,44,Increasing,0.71,Medium
SUP03194,Mexico,Textiles,39,750,686,8285,0.8,2021,Yes,44,Increasing,0.81,Low
SUP03195,Mexico,Assembly,79,86,504,6491,0.91,2024,No,75,Increasing,1.0,Low
SUP03196,Mexico,Textiles,22,753,954,5040,0.96,2022,Yes,44,Stable,0.79,Low
SUP03197,Vietnam,Semiconductors,57,589,1171,17669,0.81,2023,No,73,Stable,0.81,High
SUP03198,India,Batteries,23,975,1584,14769,0.8,2020,Yes,92,Stable,0.84,Medium
SUP03199,India,Batteries,19,869,1455,14030,0.73,2021,Yes,16,Stable,0.85,Medium
SUP03200,Thailand,Displays,95,323,955,15721,0.83,2021,No,99,Stable,0.91,Medium
SUP03201,India,Textiles,68,510,1070,8624,0.87,2021,No,19,Decreasing,0.87,Medium
SUP03202,USA,Textiles,98,872,1105,6073,0.77,2020,Yes,94,Stable,0.87,Low
SUP03203,India,Packaging,22,87,287,4905,0.7,2023,No,2,Stable,0.6,Medium
SUP03204,China,Batteries,80,683,1346,15511,0.98,2022,No,59,Increasing,1.0,Medium
SUP03205,Vietnam,Textiles,34,848,1062,7568,0.73,2024,Yes,10,Stable,0.8,Low
SUP03206,India,Assembly,27,68,640,11171,0.88,2022,No,36,Increasing,0.81,Medium
SUP03207,Germany,Packaging,11,89,356,3626,0.61,2022,No,29,Increasing,0.46,High
SUP03208,USA,Packaging,31,41,188,2840,0.66,2023,No,3,Increasing,0.56,Medium
SUP03209,Thailand,Displays,48,499,843,15233,0.84,2022,No,35,Stable,0.95,Medium
SUP03210,India,Displays,68,445,671,11734,0.88,2021,No,85,Stable,0.83,Medium
SUP03211,Brazil,Assembly,93,114,673,13914,0.88,2022,No,15,Stable,0.74,Medium
SUP03212,Mexico,Semiconductors,20,402,1847,19890,0.78,2024,Yes,0,Increasing,0.84,High
SUP03213,China,Semiconductors,37,364,1337,19080,0.71,2022,No,68,Increasing,0.65,High
SUP03214,Thailand,Assembly,23,63,547,9891,0.67,2022,No,34,Decreasing,0.55,Medium
SUP03215,Thailand,Packaging,79,65,113,3079,0.62,2021,No,76,Increasing,0.59,Medium
SUP03216,Thailand,Textiles,73,383,668,8876,1.0,2024,No,90,Decreasing,0.95,Low
SUP03217,USA,Displays,43,440,619,8511,0.84,2021,No,25,Stable,0.91,Low
SUP03218,Germany,Packaging,84,48,360,2968,0.79,2021,No,21,Stable,0.67,Medium
SUP03219,Mexico,Packaging,65,77,176,3677,0.67,2024,No,54,Stable,0.81,Low
SUP03220,Germany,Assembly,17,67,680,9788,0.85,2022,No,41,Increasing,0.74,Medium
SUP03221,Mexico,Semiconductors,85,386,1359,14828,0.78,2021,No,94,Increasing,0.67,Medium
SUP03222,Germany,Packaging,61,42,337,2451,0.63,2024,No,81,Stable,0.65,Medium
SUP03223,Brazil,Displays,40,377,841,12405,0.91,2020,No,11,Stable,0.96,Medium
SUP03224,China,Batteries,49,903,1579,11139,0.76,2021,Yes,74,Stable,0.54,Medium
SUP03225,Brazil,Semiconductors,67,441,1312,18514,0.78,2021,No,72,Stable,0.75,High
SUP03226,Mexico,Packaging,94,92,251,3508,0.94,2020,No,57,Stable,0.84,Low
SUP03227,Mexico,Textiles,33,563,614,4519,0.79,2021,No,29,Stable,0.88,Low
SUP03228,Vietnam,Textiles,30,381,1142,8244,0.66,2023,No,60,Decreasing,0.7,Low
SUP03229,Germany,Textiles,20,816,666,6129,0.74,2020,Yes,82,Stable,0.6,Medium
SUP03230,USA,Packaging,6,59,148,5200,0.96,2024,No,12,Stable,1.0,Low
SUP03231,USA,Displays,67,413,898,10385,0.98,2021,No,78,Increasing,1.0,Medium
SUP03232,Brazil,Batteries,32,687,1426,13073,0.67,2022,No,98,Stable,0.5,Medium
SUP03233,India,Displays,32,356,884,12185,0.65,2021,No,77,Increasing,0.51,Medium
SUP03234,China,Textiles,8,711,999,6422,0.76,2021,Yes,67,Stable,0.82,Low
SUP03235,China,Displays,69,463,803,8655,0.96,2024,No,55,Stable,0.74,Low
SUP03236,China,Semiconductors,60,206,907,17725,0.84,2021,No,64,Increasing,0.7,High
SUP03237,Vietnam,Packaging,60,90,226,3270,0.62,2021,No,10,Stable,0.58,Medium
SUP03238,Vietnam,Batteries,5,600,1775,12521,0.93,2021,Yes,56,Stable,0.88,Medium
SUP03239,Thailand,Displays,63,365,848,9983,0.69,2022,No,80,Stable,0.55,Medium
SUP03240,USA,Textiles,54,779,602,7320,0.8,2021,Yes,82,Stable,0.75,Low
SUP03241,Mexico,Displays,66,318,662,11100,0.77,2024,No,21,Stable,0.77,Medium
SUP03242,USA,Textiles,36,390,792,5055,0.77,2024,No,25,Stable,0.63,Medium
SUP03243,China,Semiconductors,68,206,1404,13077,0.65,2020,No,24,Decreasing,0.62,Medium
SUP03244,Vietnam,Batteries,14,962,1704,10020,0.83,2020,Yes,88,Increasing,0.81,Medium
SUP03245,USA,Semiconductors,5,410,1296,15815,0.89,2024,No,32,Stable,1.0,Medium
SUP03246,Vietnam,Batteries,93,705,1218,15323,0.81,2023,Yes,71,Increasing,0.88,Medium
SUP03247,Vietnam,Displays,57,312,533,13695,0.63,2022,No,20,Stable,0.64,Medium
SUP03248,India,Semiconductors,92,590,1958,12791,0.66,2024,Yes,44,Stable,0.54,Medium
SUP03249,India,Packaging,44,99,258,4297,0.65,2024,No,60,Stable,0.74,Low
SUP03250,India,Semiconductors,2,485,1404,10382,0.75,2022,No,24,Increasing,0.73,Medium
SUP03251,Mexico,Textiles,63,464,1160,7549,0.91,2022,No,34,Increasing,0.99,Low
SUP03252,Vietnam,Packaging,45,59,373,2133,0.86,2024,No,25,Increasing,0.83,Low
SUP03253,Thailand,Displays,29,387,653,12145,0.7,2022,No,57,Stable,0.79,Medium
SUP03254,Germany,Textiles,28,786,864,7724,0.71,2020,Yes,30,Increasing,0.81,Low
SUP03255,Brazil,Displays,92,462,891,10141,0.96,2022,No,25,Stable,1.0,Medium
SUP03256,India,Textiles,41,599,829,7279,0.65,2021,No,20,Stable,0.52,Medium
SUP03257,Mexico,Semiconductors,65,224,1242,16822,0.87,2020,No,91,Stable,0.89,High
SUP03258,Germany,Semiconductors,37,265,1802,11718,0.67,2023,Yes,8,Increasing,0.7,Medium
SUP03259,Brazil,Packaging,75,87,347,5067,0.96,2023,No,74,Stable,1.0,Low
SUP03260,Mexico,Semiconductors,48,231,1880,13184,0.83,2024,Yes,67,Stable,0.69,Medium
SUP03261,India,Textiles,93,889,1017,6370,0.75,2022,Yes,98,Stable,0.92,Low
SUP03262,Vietnam,Packaging,73,36,311,5178,0.84,2020,No,6,Stable,0.77,Low
SUP03263,USA,Packaging,84,54,319,4675,0.83,2021,No,93,Stable,0.96,Low
SUP03264,Germany,Batteries,99,658,1287,18228,0.9,2022,No,37,Decreasing,0.89,High
SUP03265,Thailand,Assembly,62,143,710,12578,0.66,2023,No,46,Increasing,0.6,Medium
SUP03266,India,Semiconductors,79,207,886,18857,0.84,2024,No,12,Stable,0.77,High
SUP03267,Germany,Batteries,51,760,1458,11901,0.88,2022,Yes,65,Stable,1.0,Medium
SUP03268,Vietnam,Assembly,76,78,557,8890,0.6,2023,No,8,Stable,0.59,Medium
SUP03269,Mexico,Packaging,94,79,332,2418,0.95,2020,No,34,Increasing,0.99,Low
SUP03270,China,Semiconductors,16,330,1378,17106,0.88,2020,No,65,Increasing,0.88,High
SUP03271,Vietnam,Semiconductors,56,261,1444,10807,0.7,2022,No,29,Stable,0.7,Medium
SUP03272,Mexico,Batteries,21,626,1485,14547,0.71,2024,No,72,Stable,0.86,Medium
SUP03273,China,Packaging,75,65,351,2128,0.95,2024,No,6,Increasing,1.0,Low
SUP03274,India,Packaging,99,49,163,3548,0.91,2022,No,4,Decreasing,1.0,Low
SUP03275,China,Displays,90,238,855,13082,0.74,2023,No,35,Increasing,0.9,Medium
SUP03276,Germany,Semiconductors,57,527,892,12091,0.74,2023,No,0,Decreasing,0.65,Medium
SUP03277,India,Textiles,91,377,757,6555,0.77,2021,No,54,Increasing,0.89,Low
SUP03278,Brazil,Displays,85,383,839,10518,0.63,2021,No,95,Decreasing,0.59,Medium
SUP03279,China,Packaging,29,52,177,5748,0.61,2023,No,54,Stable,0.61,Medium
SUP03280,Thailand,Batteries,91,628,1311,18458,0.66,2022,No,25,Stable,0.84,High
SUP03281,Germany,Packaging,50,97,286,4986,0.9,2024,No,98,Decreasing,0.62,Medium
SUP03282,Vietnam,Packaging,8,77,292,3734,0.67,2022,No,37,Increasing,0.57,Medium
SUP03283,USA,Batteries,45,694,1792,16816,0.91,2021,Yes,93,Increasing,1.0,High
SUP03284,Germany,Semiconductors,23,583,1211,14085,0.69,2020,No,88,Increasing,0.69,Medium
SUP03285,Thailand,Displays,83,221,528,14886,0.67,2020,No,9,Stable,0.7,Medium
SUP03286,Brazil,Semiconductors,41,573,1688,17880,0.6,2024,Yes,30,Increasing,0.45,High
SUP03287,Mexico,Textiles,98,882,869,5911,0.65,2020,Yes,45,Decreasing,0.82,Low
SUP03288,China,Packaging,27,62,265,2061,0.94,2024,No,95,Decreasing,1.0,Low
SUP03289,Vietnam,Displays,97,174,727,13462,0.94,2021,No,4,Stable,0.99,Medium
SUP03290,Brazil,Textiles,71,440,531,8975,0.87,2021,No,82,Increasing,0.85,Low
SUP03291,Thailand,Semiconductors,80,582,1815,10616,0.63,2022,Yes,52,Decreasing,0.67,Medium
SUP03292,USA,Textiles,54,460,788,4507,0.7,2020,No,96,Stable,0.58,Medium
SUP03293,China,Assembly,7,55,748,10182,0.86,2020,No,9,Increasing,1.0,Medium
SUP03294,USA,Packaging,68,37,379,4339,0.84,2024,No,74,Stable,0.83,Low
SUP03295,Germany,Textiles,73,697,589,9434,0.87,2020,No,33,Increasing,0.97,Medium
SUP03296,Brazil,Semiconductors,0,393,1649,10852,0.82,2024,Yes,56,Stable,0.76,Medium
SUP03297,Vietnam,Packaging,76,77,135,3996,0.97,2024,No,77,Decreasing,0.74,Low
SUP03298,Thailand,Displays,51,470,817,13618,0.83,2024,No,68,Stable,0.98,Medium
SUP03299,USA,Displays,45,335,583,8675,0.65,2024,No,11,Decreasing,0.62,Medium
SUP03300,China,Assembly,37,109,519,9006,0.85,2020,No,85,Stable,0.89,Low
SUP03301,China,Assembly,28,96,351,10266,0.78,2021,No,79,Increasing,0.63,Medium
SUP03302,USA,Displays,5,460,957,15595,0.84,2022,No,32,Stable,0.76,Medium
SUP03303,Germany,Packaging,65,66,130,5246,0.85,2020,No,81,Stable,0.93,Low
SUP03304,Mexico,Semiconductors,7,480,1258,13595,0.92,2022,No,96,Increasing,0.83,Medium
SUP03305,Thailand,Packaging,55,57,323,5726,1.0,2020,No,13,Decreasing,1.0,Low
SUP03306,China,Semiconductors,7,230,1437,12955,0.66,2020,No,64,Increasing,0.62,Medium
SUP03307,China,Textiles,100,857,986,5631,0.97,2022,Yes,96,Stable,0.97,Low
SUP03308,China,Textiles,36,747,997,4866,0.85,2021,Yes,74,Decreasing,1.0,Low
SUP03309,Vietnam,Packaging,3,95,350,5190,0.67,2021,No,68,Stable,0.72,Low
SUP03310,Thailand,Assembly,72,89,788,14729,0.96,2024,No,88,Stable,1.0,Medium
SUP03311,India,Displays,34,338,751,13522,0.79,2022,No,66,Increasing,0.83,Medium
SUP03312,USA,Displays,43,209,943,15964,0.81,2023,No,79,Stable,0.83,Medium
SUP03313,China,Semiconductors,35,367,1717,17867,0.62,2021,Yes,84,Increasing,0.46,High
SUP03314,India,Displays,12,434,531,13688,0.93,2024,No,45,Stable,0.86,Medium
SUP03315,China,Packaging,97,82,116,4689,0.84,2024,No,57,Stable,0.77,Low
SUP03316,China,Packaging,21,49,164,5144,0.73,2020,No,62,Decreasing,0.62,Medium
SUP03317,India,Assembly,9,65,738,8505,0.78,2022,No,3,Decreasing,0.82,Low
SUP03318,India,Semiconductors,72,477,835,15778,0.64,2020,No,85,Stable,0.68,Medium
SUP03319,China,Displays,81,164,784,9678,0.6,2021,No,56,Increasing,0.92,Medium
SUP03320,Vietnam,Textiles,66,713,1036,7278,0.79,2020,Yes,63,Stable,0.67,Medium
SUP03321,India,Packaging,64,75,161,4598,0.71,2024,No,42,Decreasing,0.73,Low
SUP03322,Vietnam,Batteries,1,773,1545,15384,0.67,2023,Yes,10,Stable,0.76,Medium
SUP03323,Vietnam,Semiconductors,72,348,864,17513,0.97,2021,No,46,Stable,1.0,High
SUP03324,USA,Packaging,43,48,251,4828,0.65,2023,No,47,Stable,0.62,Medium
SUP03325,USA,Semiconductors,57,470,1339,11502,0.94,2020,No,57,Stable,0.9,Medium
SUP03326,Brazil,Packaging,99,70,205,5912,0.71,2023,No,19,Decreasing,0.73,Low
SUP03327,Germany,Displays,35,233,711,8636,0.98,2022,No,47,Stable,0.95,Low
SUP03328,Vietnam,Textiles,89,884,1125,5362,0.84,2022,Yes,44,Decreasing,0.95,Low
SUP03329,India,Displays,64,321,948,13832,0.62,2022,No,6,Stable,0.68,Medium
SUP03330,USA,Textiles,90,627,619,8826,0.73,2024,No,5,Stable,0.57,Medium
SUP03331,India,Semiconductors,74,248,1547,15957,0.83,2022,Yes,74,Stable,0.87,Medium
SUP03332,Vietnam,Textiles,76,392,583,9831,0.81,2022,No,32,Decreasing,0.74,Medium
SUP03333,Mexico,Semiconductors,99,432,1408,19008,0.6,2023,No,99,Increasing,0.59,High
SUP03334,Germany,Assembly,64,133,436,11151,0.67,2024,No,65,Increasing,0.57,Medium
SUP03335,Brazil,Assembly,27,106,701,11355,0.82,2021,No,87,Stable,0.73,Medium
SUP03336,India,Batteries,64,943,1444,19554,0.78,2023,Yes,96,Stable,0.83,High
SUP03337,USA,Packaging,13,80,282,4093,0.9,2022,No,64,Increasing,0.7,Low
SUP03338,China,Batteries,42,657,1248,19753,0.93,2023,No,56,Increasing,0.92,High
SUP03339,Vietnam,Assembly,49,72,719,10554,0.9,2024,No,88,Decreasing,0.75,Medium
SUP03340,Germany,Displays,73,364,545,11761,0.86,2020,No,28,Increasing,0.81,Medium
SUP03341,China,Assembly,91,114,767,14807,0.91,2022,No,51,Increasing,0.85,Medium
SUP03342,Vietnam,Packaging,53,30,257,2226,0.89,2022,No,68,Stable,0.79,Low
SUP03343,China,Semiconductors,49,495,1252,18429,0.92,2021,No,17,Increasing,0.74,High
SUP03344,Vietnam,Assembly,87,144,487,7807,0.85,2024,No,58,Decreasing,0.9,Low
SUP03345,Mexico,Displays,3,494,945,11732,0.88,2023,No,35,Decreasing,0.79,Medium
SUP03346,Thailand,Packaging,63,60,241,3187,0.75,2023,No,68,Stable,0.7,Low
SUP03347,India,Displays,92,345,785,10418,0.63,2020,No,96,Increasing,0.68,Medium
SUP03348,India,Assembly,41,75,652,8503,0.66,2022,No,25,Stable,0.64,Medium
SUP03349,Mexico,Displays,93,209,699,14145,0.7,2020,No,92,Decreasing,0.75,Medium
SUP03350,Thailand,Batteries,19,755,1146,13031,0.83,2020,Yes,57,Stable,1.0,Medium
SUP03351,USA,Packaging,36,80,112,4500,0.61,2022,No,25,Stable,0.65,Medium
SUP03352,China,Assembly,84,84,366,8780,0.93,2023,No,79,Stable,0.89,Low
SUP03353,India,Batteries,40,847,1055,11154,0.67,2020,Yes,47,Decreasing,0.64,Medium
SUP03354,Thailand,Displays,61,433,824,14674,0.69,2023,No,54,Stable,0.51,Medium
SUP03355,Vietnam,Batteries,54,820,1573,10577,0.63,2023,Yes,31,Stable,0.5,Medium
SUP03356,Mexico,Displays,44,162,715,10077,0.89,2022,No,62,Stable,0.86,Medium
SUP03357,Germany,Textiles,36,784,847,5567,0.72,2022,Yes,90,Stable,0.72,Low
SUP03358,USA,Semiconductors,65,585,1062,19491,0.87,2024,No,79,Stable,0.88,High
SUP03359,Vietnam,Assembly,44,141,776,8055,0.7,2021,No,11,Increasing,0.89,Low
SUP03360,Vietnam,Batteries,38,538,1494,19307,0.71,2024,No,28,Decreasing,0.81,High
SUP03361,Brazil,Batteries,55,521,1549,14033,0.92,2021,Yes,43,Stable,0.99,Medium
SUP03362,USA,Batteries,46,726,1403,13734,0.86,2020,Yes,99,Increasing,0.9,Medium
SUP03363,USA,Packaging,75,58,251,4908,0.9,2023,No,7,Decreasing,1.0,Low
SUP03364,China,Textiles,93,863,1104,5244,0.73,2020,Yes,31,Increasing,0.92,Low
SUP03365,Vietnam,Assembly,40,119,726,13017,0.84,2022,No,41,Stable,0.81,Medium
SUP03366,Thailand,Assembly,50,123,475,12555,0.68,2024,No,2,Stable,0.79,Medium
SUP03367,India,Packaging,37,55,382,2777,0.63,2020,No,46,Stable,0.63,Medium
SUP03368,China,Assembly,55,113,417,9540,0.83,2020,No,39,Stable,0.77,Medium
SUP03369,Brazil,Semiconductors,70,236,811,10139,0.86,2022,No,85,Stable,0.89,Medium
SUP03370,USA,Textiles,94,465,976,7319,0.78,2022,No,94,Increasing,0.95,Low
SUP03371,Mexico,Packaging,17,92,222,5685,0.66,2023,No,93,Stable,0.52,Medium
SUP03372,Thailand,Textiles,56,313,637,7616,0.65,2021,No,64,Stable,0.63,Medium
SUP03373,Vietnam,Semiconductors,32,218,1720,15875,1.0,2023,Yes,30,Increasing,1.0,Medium
SUP03374,China,Displays,24,238,617,9220,0.88,2021,No,75,Increasing,0.85,Medium
SUP03375,India,Batteries,6,817,1473,17289,0.81,2024,Yes,65,Stable,0.78,High
SUP03376,China,Assembly,57,149,666,12993,0.93,2022,No,93,Stable,0.95,Medium
SUP03377,Vietnam,Packaging,57,76,145,5926,1.0,2023,No,75,Decreasing,1.0,Low
SUP03378,USA,Semiconductors,58,339,1392,11076,0.77,2020,No,65,Increasing,0.88,Medium
SUP03379,Thailand,Displays,99,486,690,12827,0.73,2020,No,76,Decreasing,0.81,Medium
SUP03380,Brazil,Batteries,96,984,1483,11908,0.76,2024,Yes,37,Increasing,0.71,Medium
SUP03381,USA,Packaging,94,40,159,3347,0.94,2022,No,42,Stable,0.89,Low
SUP03382,Brazil,Displays,12,343,729,14709,0.76,2022,No,72,Stable,0.93,Medium
SUP03383,Vietnam,Assembly,93,73,671,12437,0.6,2023,No,87,Increasing,0.56,Medium
SUP03384,USA,Textiles,27,649,620,9442,0.86,2021,No,33,Stable,0.8,Medium
SUP03385,USA,Semiconductors,86,212,1951,13312,0.76,2021,Yes,24,Increasing,0.63,Medium
SUP03386,Germany,Displays,5,276,583,9232,0.77,2020,No,44,Increasing,0.78,Medium
SUP03387,Germany,Assembly,77,63,326,14614,0.75,2023,No,100,Decreasing,0.65,Medium
SUP03388,Vietnam,Assembly,84,58,412,7113,0.63,2021,No,92,Stable,0.59,Medium
SUP03389,Thailand,Packaging,91,93,366,4125,0.72,2023,No,61,Decreasing,0.65,Medium
SUP03390,Germany,Semiconductors,81,363,879,18462,0.6,2021,No,62,Stable,0.51,High
SUP03391,USA,Assembly,86,137,386,14796,1.0,2022,No,79,Decreasing,0.87,Medium
SUP03392,Thailand,Batteries,85,546,1677,11819,0.62,2020,Yes,47,Increasing,0.8,Medium
SUP03393,Germany,Assembly,83,134,428,11968,0.63,2023,No,32,Stable,0.63,Medium
SUP03394,India,Textiles,59,691,691,4313,0.69,2023,No,39,Increasing,0.73,Low
SUP03395,USA,Packaging,67,32,163,3640,0.96,2022,No,9,Stable,0.9,Low
SUP03396,Brazil,Displays,61,407,769,15169,0.81,2022,No,8,Increasing,0.9,Medium
SUP03397,USA,Textiles,20,651,1150,7005,0.77,2024,No,5,Stable,0.73,Low
SUP03398,India,Textiles,62,421,585,7807,0.65,2022,No,19,Stable,0.67,Medium
SUP03399,China,Semiconductors,28,356,1419,15697,0.92,2021,No,3,Stable,0.82,Medium
SUP03400,India,Textiles,47,505,738,8605,0.62,2020,No,15,Increasing,0.65,Medium
SUP03401,Thailand,Semiconductors,8,520,1868,13342,0.65,2020,Yes,68,Stable,0.59,Medium
SUP03402,Germany,Packaging,55,95,245,2134,0.86,2023,No,42,Stable,0.96,Low
